,strDrink,idDrink,strDrinkAlternate,strDrinkES,strDrinkDE,strDrinkFR,strDrinkZH-HANS,strDrinkZH-HANT,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsZH-HANS,strInstructionsZH-HANT,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strCreativeCommonsConfirmed,dateModified
0,'57 Chevy with a White License Plate,14029,,,,,,,,,Cocktail,,Alcoholic,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,,1. Füllen Sie ein Rocks Glas mit Eis 2. Geben Sie weiße Creme de Kakao und Wodka hinzu. 3. Umrühren.,,,,Creme de Cacao,Vodka,,,,,,,,,,,,,,1 oz white ,1 oz ,,,,,,,,,,,,,,No,2016-07-18 22:49:04
1,155 Belmont,15346,,,,,,,,,Cocktail,,Alcoholic,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,,Mit Eis vermischen. In einem Weinglas servieren. Mit Karotte garnieren.,,,,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,,No,2016-10-05 12:36:28
2,501 Blue,17105,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,Mix equal amounts into a glass with ice.,,Mische gleiche Mengen in ein Glas mit Eis.,,,,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,,,,,,,,,,,,,,No,2016-04-28 19:11:37
3,747 Drink,178318,,,,,,,,,Cocktail,,Alcoholic,Highball glass,"Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",,,,,,Vodka,Roses sweetened lime juice,Cranberry Juice,Sprite,,,,,,,,,,,,1 oz,1 oz,1 oz,Top,,,,,,,,,,,,Yes,
4,A Gilligan's Island,16943,,,,,,,,,Cocktail,,Alcoholic,Collins glass,"Shaken, not stirred!",,"Geschüttelt, nicht gerührt!",,,,Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz ,,,,,,,,,,,,No,2016-04-28 19:12:56
5,A midsummernight dream,15675,,,,,,,,,Ordinary Drink,,Alcoholic,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",,"Die Erdbeeren in einem Mixer mischen. Gießen Sie sie zusammen mit Wodka, Kirch und Erdbeerlikör über Eis in einen Shaker. Gut schütteln und ein Highball Glas einfüllen. Füllen Sie das russische Wasser auf.",,,,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,5 ,,,,,,,,,,,,No,2016-04-28 19:14:52
6,A.D.M. (After Dinner Mint),14560,,,,,,,,,Cocktail,,Alcoholic,Irish coffee cup,shake vigorously,,kräftig schütteln,,,,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with ,,,,,,,,,,,,No,2016-08-31 19:53:20
7,Absinthe #2,12790,,,,,,,,,Homemade Liqueur,,Alcoholic,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",,"Zusammen mischen und ein paar Tage ruhen lassen. Durch einen Kaffeefilter abseihen. Zum Servieren 1 Teil Absinth mit 4 Teilen Wasser mischen, Eis hinzufügen, genießen.",,,,Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,,,,1 bottle ,50 gr ,50 ml pure ,1 tblsp ,1 ,,,,,,,,,,,No,2016-08-31 19:13:17
8,Absolutely Fabulous,17224,,,,,,,,,Cocktail,,Alcoholic,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,,Den Wodka- und Preiselbeersaft in einem Shaker vermischen und in ein Glas abseihen. Mit Champagner auffüllen.,,,,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,,,,,,,,,,,,,No,2017-09-07 21:55:34
9,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
10,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
11,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
12,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
13,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
14,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
15,Adam Bomb,16333,,,,,,,,,Punch / Party Drink,,Alcoholic,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",,"Eis in den Mixer (oder in ein Glas, wenn Sie lieber On the Rocks bevorzugen), dann Obst und Fruchtsaft je nach persönlicher Vorliebe, dann Rum, Wodka, Tequila und Triple Sec. zugeben, bis sie glattflächig sind, Glas mit Zucker oder Salz einrühren und die Mischung hineingeben. Mit Zitronen- oder Limonenscheibe garnieren.",,,,Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,,,1-3 pint ,,,,,,,,,No,2016-02-03 15:23:36
