brewery_id,brewery_nameShortDisplay,isOrganic,location,brewery_name
BznahA,Anheuser-Busch InBev,N,Denver,Anheuser-Busch InBev
rd8LRZ,Boston Beer Company (Samuel Adams),N,Denver,Boston Beer Company (Samuel Adams)
IImUD9,Breckenridge,N,Denver,Breckenridge Brewery
uM2jeT,Brouwerij De Leite,N,Denver,Brouwerij De Leite
p3YrOa,Dock Street,N,Denver,Dock Street Brewery
HaPdSL,Guinness,N,Denver,Guinness
DMU2Kf,Harmon,N,Denver,Harmon Brewing Company
p1tFbP,Jackalope,N,Denver,Jackalope Brewing Company
nLsoQ9,Lagunitas,N,Denver,Lagunitas Brewing Company
941OaA,Dale Bros.,N,Denver,Last Name Brewing
yX6twV,Laughing Dog,N,Denver,Laughing Dog Brewing
hGFVYy,Miller,N,Denver,Miller Brewing Company
AqEUBQ,New Holland,N,Denver,New Holland Brewing Company
q6vJUK,Oskar Blues,N,Denver,Oskar Blues Brewery
4F7QA9,Portsmouth,N,Denver,Portsmouth Brewery
nHLlnK,Sierra Nevada,N,Denver,Sierra Nevada Brewing Company
TMc6H2,Sweetwater,N,Denver,SweetWater Brewing Company
DifSi4,Wachusett,N,Denver,Wachusett Brewing Company
VEY3Xa,Zero Gravity Craft,N,Denver,Zero Gravity Craft Brewery
BznahA,Anheuser-Busch InBev,N,Nashville,Anheuser-Busch InBev
rd8LRZ,Boston Beer Company (Samuel Adams),N,Nashville,Boston Beer Company (Samuel Adams)
IImUD9,Breckenridge,N,Nashville,Breckenridge Brewery
uM2jeT,Brouwerij De Leite,N,Nashville,Brouwerij De Leite
p3YrOa,Dock Street,N,Nashville,Dock Street Brewery
HaPdSL,Guinness,N,Nashville,Guinness
DMU2Kf,Harmon,N,Nashville,Harmon Brewing Company
p1tFbP,Jackalope,N,Nashville,Jackalope Brewing Company
nLsoQ9,Lagunitas,N,Nashville,Lagunitas Brewing Company
941OaA,Dale Bros.,N,Nashville,Last Name Brewing
yX6twV,Laughing Dog,N,Nashville,Laughing Dog Brewing
hGFVYy,Miller,N,Nashville,Miller Brewing Company
AqEUBQ,New Holland,N,Nashville,New Holland Brewing Company
q6vJUK,Oskar Blues,N,Nashville,Oskar Blues Brewery
4F7QA9,Portsmouth,N,Nashville,Portsmouth Brewery
nHLlnK,Sierra Nevada,N,Nashville,Sierra Nevada Brewing Company
TMc6H2,Sweetwater,N,Nashville,SweetWater Brewing Company
DifSi4,Wachusett,N,Nashville,Wachusett Brewing Company
VEY3Xa,Zero Gravity Craft,N,Nashville,Zero Gravity Craft Brewery
BznahA,Anheuser-Busch InBev,N,New_York_City,Anheuser-Busch InBev
rd8LRZ,Boston Beer Company (Samuel Adams),N,New_York_City,Boston Beer Company (Samuel Adams)
IImUD9,Breckenridge,N,New_York_City,Breckenridge Brewery
uM2jeT,Brouwerij De Leite,N,New_York_City,Brouwerij De Leite
p3YrOa,Dock Street,N,New_York_City,Dock Street Brewery
HaPdSL,Guinness,N,New_York_City,Guinness
DMU2Kf,Harmon,N,New_York_City,Harmon Brewing Company
p1tFbP,Jackalope,N,New_York_City,Jackalope Brewing Company
nLsoQ9,Lagunitas,N,New_York_City,Lagunitas Brewing Company
941OaA,Dale Bros.,N,New_York_City,Last Name Brewing
