nameDisplay,description,abv,ibu,originalGravity,style_name,style_category_name,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_ogMax,style_fgMin,style_fgMax,brewery_name_beer,geometry_location_lat,geometry_location_lng,location
7 Birds,"Strawberry, Raspberry pilsner. Very good. Crisp and clean. Beautiful disaster session style I could drink this all day while being outside.",5.0,13.0,,American-Style Pilsener,North American Lager,25.0,40.0,5.0,6.0,3.0,6.0,1.045,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
7 Birds,"Strawberry, Raspberry pilsner. Very good. Crisp and clean. Beautiful disaster session style I could drink this all day while being outside.",5.0,13.0,,American-Style Pilsener,North American Lager,25.0,40.0,5.0,6.0,3.0,6.0,1.045,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
7 Cities Pilsner,"Seven Cities Pilsner, an unfiltered German Pilsner is the first lager style beer to be released by Jackalope Brewing Company.
 It is brewed entirely with noble German Tettnang hops and pours a beautiful light golden color,
 thus we named it after the myth of the Seven Cities of Gold.
 It is a light bodied, refreshing brew with hints of Pilsen malt sweetness,
 and a smooth yet hoppy finish.",5.0,32.0,,American-Style Pilsener,North American Lager,25.0,40.0,5.0,6.0,3.0,6.0,1.045,,1.012,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
7 Cities Pilsner,"Seven Cities Pilsner, an unfiltered German Pilsner is the first lager style beer to be released by Jackalope Brewing Company.
 It is brewed entirely with noble German Tettnang hops and pours a beautiful light golden color,
 thus we named it after the myth of the Seven Cities of Gold.
 It is a light bodied, refreshing brew with hints of Pilsen malt sweetness,
 and a smooth yet hoppy finish.",5.0,32.0,,American-Style Pilsener,North American Lager,25.0,40.0,5.0,6.0,3.0,6.0,1.045,,1.012,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Banana Stand,,,,,South German-Style Dunkel Weizen / Dunkel Weissbier,German Origin Ales,10.0,15.0,4.8,5.4,10.0,19.0,1.048,,1.008,1.016,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Banana Stand,,,,,South German-Style Dunkel Weizen / Dunkel Weissbier,German Origin Ales,10.0,15.0,4.8,5.4,10.0,19.0,1.048,,1.008,1.016,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Barrel-Aged Thunder Ann,,,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Barrel-Aged Thunder Ann,,,,,American-Style Pale Ale,North American Origin Ales,30.0,42.0,4.5,5.6,6.0,14.0,1.044,,1.008,1.014,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
Bearwalker Barrel Aged Double Maple,,6.0,,,American-Style Brown Ale,North American Origin Ales,25.0,45.0,4.0,6.4,15.0,26.0,1.04,,1.01,1.018,Jackalope Brewing Company,36.1503747,-86.7793791,Nashville
Bearwalker Barrel Aged Double Maple,,6.0,,,American-Style Brown Ale,North American Origin Ales,25.0,45.0,4.0,6.4,15.0,26.0,1.04,,1.01,1.018,Jackalope Brewing Company,36.1426813,-86.7668817,Nashville
