strDrink,idDrink,strCategory,strAlcoholic,strInstructions,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
'57 Chevy with a White License Plate,14029,Cocktail,Alcoholic,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,Vodka,,,,,,,,,,,,,,1 oz white ,1 oz ,,,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
155 Belmont,15346,Cocktail,Alcoholic,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot ,,,,,,,,,,,
