geometry_location_lat,geometry_location_lng,name,location
39.753454,-104.998467,Wynkoop Brewing Company,Denver
39.763171,-104.981361,Epic Brewing Company,Denver
39.758225,-105.0073556,Denver Beer Co,Denver
39.7614592,-105.0066456,Prost Brewing Co. & Biergarten - Denver,Denver
39.7552332,-104.9770723,Spangalang Brewery,Denver
39.752232,-104.991415,Jagged Mountain Craft Brewery,Denver
39.7586602,-105.0153262,Zuni Street Brewing Company,Denver
39.7214067,-104.9870068,Baere Brewing Company,Denver
39.7789062,-105.0435791,Call to Arms Brewing Company,Denver
39.7397474,-104.9454461,Cerebral Brewing,Denver
39.7630916,-105.0347925,Oasis Brewing Co.,Denver
39.7453699,-105.0053835,Tivoli Brewing Co. Tap House,Denver
39.7736528,-104.9769889,Blue Moon Brewing Company,Denver
39.776061,-105.043509,"De Steeg Brewing - Entrance in ""The Alley""",Denver
39.7293111,-104.9859167,Lowdown Brewery,Denver
39.7237459,-105.0004981,Crazy Mountain Brewery,Denver
39.7703523,-105.0031355,Diebolt Brewing Company,Denver
39.7509139,-104.9845517,Woods Boss Brewing Company,Denver
39.7697388,-104.9728259,Black Shirt Brewing Co,Denver
39.7306167,-104.9993056,Renegade Brewing Company,Denver
39.982431,-75.127061,Philadelphia Brewing Co,Philadelphia
39.96028889999999,-75.15557230000002,Love City Brewing,Philadelphia
39.926384,-75.1730315,Second District Brewing Company,Philadelphia
39.9623669,-75.1360404,Mainstay Independent Brewing Company,Philadelphia
39.974458,-75.18084,Crime and Punishment Brewing Co.,Philadelphia
39.9484375,-75.1435245,2nd Story Brewing,Philadelphia
39.9649761,-75.1356784,Goose Island Brewhouse,Philadelphia
39.9477506,-75.2227932,Dock Street Brewery West,Philadelphia
39.9757949,-75.133939,Evil Genius Beer Company,Philadelphia
39.923956,-75.17887499999999,Brewery ARS,Philadelphia
39.9392514,-75.1796686,Dock Street Brewery South,Philadelphia
39.9736437,-75.1395908,Punch Buggy Brewing Company,Philadelphia
39.9609712,-75.1469089,Yards Brewing Company,Philadelphia
39.9703808,-75.1291121,Kurant Brew & Brew,Philadelphia
39.9841345,-75.1373674,After Midnight Brewing,Philadelphia
39.951437,-75.1801053,Workhorse Brewing Company (Delivery Only!),Philadelphia
39.976536,-75.1374119,Fermentery Form,Philadelphia
39.99261509999999,-75.1084719,Sacred Vice Brewing Company,Philadelphia
39.9289362,-75.1650835,Separatist South Philly,Philadelphia
39.96137179999999,-75.15400559999999,Roy Pitz Barrel House,Philadelphia
40.6985551,-73.9712029,Transmitter Brewing,New_York_City
40.7060658,-73.9236918,Kings County Brewers Collective,New_York_City
40.7217625,-73.9577086,Brooklyn Brewery,New_York_City
40.69166,-73.986036,Circa Brewing Co.,New_York_City
40.6949906,-73.904021,Queens Brewery,New_York_City
40.6963598,-73.9041378,Evil Twin Brewing NYC,New_York_City
40.7465012,-73.9515405,Fifth Hammer Brewing Company,New_York_City
40.7471787,-73.9549285,Rockaway Brewing Company,New_York_City
40.7520862,-73.9505873,Big aLICe Brewing,New_York_City
40.714267,-73.936528,Grimm Artisanal Ales,New_York_City
40.7127146,-73.9370439,Interboro Spirits & Ales,New_York_City
40.7501896,-73.9488192,ICONYC Brewing Company LIC,New_York_City
40.7196427,-73.9394933,18th Ward Brewing,New_York_City
40.7304321,-73.9578173,Threes Brewing Greenpoint,New_York_City
40.73768,-73.9552235,Greenpoint Beer & Ale Co.,New_York_City
40.693822,-73.902835,Bridge and Tunnel Brewery,New_York_City
40.7265828,-73.94020139999999,War Flag Brewing Company,New_York_City
40.7549273,-73.9392266,LIC Beer Project,New_York_City
40.7066639,-73.8732924,Finback Brewery,New_York_City
40.7240508,-73.9503414,Keg & Lantern Brewing Company,New_York_City
42.3221186,-71.06267199999999,Dorchester Brewing Company,Boston
42.3551124,-71.0621669,Democracy Brewing,Boston
42.3679837,-71.0978914,Lamplighter Brewing Co.,Boston
42.392658,-71.09398399999999,Winter Hill Brewing Company,Boston
42.4055753,-71.06573,Bone Up Brewing Co.,Boston
42.3672824,-71.09022639999999,Cambridge Brewing Company,Boston
42.3810179,-71.0982183,Remnant Brewing,Boston
42.3469065,-71.0344387,Harpoon Brewery & Beer Hall,Boston
42.3819849,-71.10624539999999,Aeronaut Brewing Company,Boston
42.3472766,-71.0948014,Cheeky Monkey Brewing Co.,Boston
42.3521739,-71.047469,Trillium Brewing Company,Boston
42.4025721,-71.0515875,BearMoose Brewing Company,Boston
42.4059707,-71.067886,Night Shift Brewing - Everett,Boston
42.3748169,-71.0892519,Somerville Brewing Company - Slumbrew,Boston
42.3471775,-71.03409649999999,Mass Bay Brewing Co,Boston
42.3513292,-71.0653274,Rock Bottom Restaurant & Brewery,Boston
42.3673476,-71.0595684,Night Shift Brewing - Lovejoy Wharf,Boston
42.3985863,-71.0612645,Down the Road Beer Co.,Boston
42.3642794,-71.0324945,Downeast Cider House,Boston
42.377801,-71.091881,Bantam Cider Company,Boston
